Team_Name,City,State,State_ID
Anaheim Ducks,Anaheim,California,CA
Arizona Coyotes,Tempe,Arizona,AZ
Boston Bruins,Boston,Massachusetts,MA
Buffalo Sabres,Buffalo,New York,NY
Carolina Hurricanes,Raleigh,North Carolina,NC
Chicago Blackhawks,Chicago,Illinois,IL
Colorado Avalanche,Denver,Colorado,CO
Columbus Blue Jackets,Columbus,Ohio,OH
Dallas Stars,Dallas,Texas,TX
Detroit Red Wings,Detroit,Michigan,MI
Florida Panthers,Sunrise,Florida,FL
Los Angeles Kings,Los Angeles,California,CA
Minnesota Wild,Saint Paul,Minnesota,MN
Nashville Predators,Nashville,Tennessee,TN
New Jersey Devils,Newark,New Jersey,NJ
New York Islanders,Elmont,New York,NY
New York Rangers,New York City,New York,NY
Philadelphia Flyers,Philadelphia,Pennsylvania,PA
Pittsburgh Penguins,Pittsburgh,Pennsylvania,PA
San Jose Sharks,San Jose,California,CA
Seattle Kraken,Seattle,Washington,WA
St. Louis Blues,St. Louis,Missouri,MO
Tampa Bay Lightning,Tampa,Florida,FL
Vegas Golden Knights,Las Vegas,Nevada,NV
Washington Capitals,"Washington, D.C.",District of Columbia,DC
